OBJECTID,ISO_CODE,COUNTRY_NAME,Date_epicrv,NewCase,TotalCase,NewDeath,TotalDeath
1,AFG,Afghanistan,2020-02-24T00:00:00.000Z,1,1,0,0
2,AFG,Afghanistan,2020-02-25T00:00:00.000Z,0,1,0,0
3,AFG,Afghanistan,2020-02-26T00:00:00.000Z,0,1,0,0
4,AFG,Afghanistan,2020-02-27T00:00:00.000Z,0,1,0,0
5,AFG,Afghanistan,2020-02-28T00:00:00.000Z,0,1,0,0
6,AFG,Afghanistan,2020-02-29T00:00:00.000Z,0,1,0,0
7,AFG,Afghanistan,2020-03-01T00:00:00.000Z,0,1,0,0
8,AFG,Afghanistan,2020-03-02T00:00:00.000Z,0,1,0,0
9,AFG,Afghanistan,2020-03-03T00:00:00.000Z,0,1,0,0
10,AFG,Afghanistan,2020-03-04T00:00:00.000Z,0,1,0,0
11,AFG,Afghanistan,2020-03-05T00:00:00.000Z,0,1,0,0
12,AFG,Afghanistan,2020-03-06T00:00:00.000Z,0,1,0,0
13,AFG,Afghanistan,2020-03-07T00:00:00.000Z,3,4,0,0
14,AFG,Afghanistan,2020-03-08T00:00:00.000Z,0,4,0,0
15,AFG,Afghanistan,2020-03-09T00:00:00.000Z,0,4,0,0
16,AFG,Afghanistan,2020-03-10T00:00:00.000Z,0,4,0,0
17,AFG,Afghanistan,2020-03-11T00:00:00.000Z,3,7,0,0
18,AFG,Afghanistan,2020-03-12T00:00:00.000Z,0,7,0,0
19,AFG,Afghanistan,2020-03-13T00:00:00.000Z,0,7,0,0
20,AFG,Afghanistan,2020-03-14T00:00:00.000Z,3,10,0,0
21,AFG,Afghanistan,2020-03-15T00:00:00.000Z,6,16,0,0
22,AFG,Afghanistan,2020-03-16T00:00:00.000Z,5,21,0,0
23,AFG,Afghanistan,2020-03-17T00:00:00.000Z,1,22,0,0
24,AFG,Afghanistan,2020-03-18T00:00:00.000Z,0,22,0,0
25,AFG,Afghanistan,2020-03-19T00:00:00.000Z,0,22,0,0
26,AFG,Afghanistan,2020-03-20T00:00:00.000Z,2,24,0,0
27,AFG,Afghanistan,2020-03-21T00:00:00.000Z,0,24,0,0
28,AFG,Afghanistan,2020-03-22T00:00:00.000Z,10,34,0,0
29,AFG,Afghanistan,2020-03-23T00:00:00.000Z,6,40,1,1
30,AFG,Afghanistan,2020-03-24T00:00:00.000Z,2,42,0,1
31,AFG,Afghanistan,2020-03-25T00:00:00.000Z,32,74,0,1
32,AFG,Afghanistan,2020-03-26T00:00:00.000Z,6,80,1,2
33,AFG,Afghanistan,2020-03-27T00:00:00.000Z,11,91,0,2
34,AFG,Afghanistan,2020-03-28T00:00:00.000Z,15,106,1,3
35,AFG,Afghanistan,2020-03-29T00:00:00.000Z,8,114,1,4
36,AFG,Afghanistan,2020-03-30T00:00:00.000Z,0,114,0,4
37,AFG,Afghanistan,2020-03-31T00:00:00.000Z,52,166,0,4
38,AFG,Afghanistan,2020-04-01T00:00:00.000Z,26,192,0,4
39,AFG,Afghanistan,2020-04-02T00:00:00.000Z,43,235,0,4
40,AFG,Afghanistan,2020-04-03T00:00:00.000Z,34,269,1,5
41,AFG,Afghanistan,2020-04-04T00:00:00.000Z,1,270,0,5
42,AFG,Afghanistan,2020-04-05T00:00:00.000Z,29,299,2,7
43,AFG,Afghanistan,2020-04-06T00:00:00.000Z,38,337,0,7
44,AFG,Afghanistan,2020-04-07T00:00:00.000Z,30,367,4,11
45,AFG,Afghanistan,2020-04-08T00:00:00.000Z,56,423,3,14
46,AFG,Afghanistan,2020-04-09T00:00:00.000Z,61,484,1,15
47,AFG,Afghanistan,2020-04-10T00:00:00.000Z,37,521,0,15
48,AFG,Afghanistan,2020-04-11T00:00:00.000Z,0,521,0,15
49,AFG,Afghanistan,2020-04-12T00:00:00.000Z,34,555,3,18
50,AFG,Afghanistan,2020-04-13T00:00:00.000Z,110,665,3,21
51,AFG,Afghanistan,2020-04-14T00:00:00.000Z,49,714,2,23
52,AFG,Afghanistan,2020-04-15T00:00:00.000Z,70,784,2,25
53,AFG,Afghanistan,2020-04-16T00:00:00.000Z,10,794,4,29
54,AFG,Afghanistan,2020-04-17T00:00:00.000Z,51,845,1,30
55,AFG,Afghanistan,2020-04-18T00:00:00.000Z,63,908,0,30
56,AFG,Afghanistan,2020-04-19T00:00:00.000Z,88,996,3,33
57,AFG,Afghanistan,2020-04-20T00:00:00.000Z,0,996,0,33
58,AFG,Afghanistan,2020-04-21T00:00:00.000Z,96,1092,3,36
59,AFG,Afghanistan,2020-04-22T00:00:00.000Z,84,1176,4,40
60,AFG,Afghanistan,2020-04-23T00:00:00.000Z,0,1176,0,40
61,ALB,Albania,2020-03-09T00:00:00.000Z,2,2,0,0
62,ALB,Albania,2020-03-10T00:00:00.000Z,4,6,0,0
63,ALB,Albania,2020-03-11T00:00:00.000Z,4,10,0,0
64,ALB,Albania,2020-03-12T00:00:00.000Z,13,23,0,0
65,ALB,Albania,2020-03-13T00:00:00.000Z,10,33,1,1
66,ALB,Albania,2020-03-14T00:00:00.000Z,5,38,0,1
67,ALB,Albania,2020-03-15T00:00:00.000Z,4,42,0,1
68,ALB,Albania,2020-03-16T00:00:00.000Z,9,51,0,1
69,ALB,Albania,2020-03-17T00:00:00.000Z,4,55,0,1
